ref,symbol,company_name,category_number,category,shares
81800,GUTM,Gulistan Textile Mills Limited,830,TEXTILE SPINNING,18983872
81820,GSPM,Gulshan Spinning Mills Limited,830,TEXTILE SPINNING,22225038
81825,HMIM,Haji Mohammad Ismail Mills Limited,830,TEXTILE SPINNING,11975040
81840,HAJT,Hajra Textile Mills Limited,830,TEXTILE SPINNING,13750000
81910,IDSM,Ideal Spinning Mills Limited,830,TEXTILE SPINNING,9920000
81913,IDRT,Idrees Textile Mills Limited,830,TEXTILE SPINNING,19852800
81920,IDYM,Indus Dyeing & Manufacturing Co. Limited,830,TEXTILE SPINNING,54221193
81990,JATM,J.A. Textile Mills Limited,830,TEXTILE SPINNING,12601200
81995,JKSM,J.K. Spinning Mills Limited,830,TEXTILE SPINNING,102317502
82000,JDMT,Janana De Malucho Textile Mills Limited,830,TEXTILE SPINNING,4784794
82080,AAL,Agro Allianz Limited,830,TEXTILE SPINNING,1183200
82120,KSTM,Khalid Siraj Textile Mills Limited,830,TEXTILE SPINNING,10700000
82140,KHSM,Khurshid Spinning Mills Limited,830,TEXTILE SPINNING,13174800
82160,KOHTM,Kohat Textile Mills Limited,830,TEXTILE SPINNING,20800000
82200,KOSM,Kohinoor Spinning Mills Limited,830,TEXTILE SPINNING,215714285
82230,LMSM,Landmark Spinning Industries Limited,830,TEXTILE SPINNING,12123700
82240,MQTM,Maqbool Textile Mills Limited,830,TEXTILE SPINNING,18432000
82325,NATM,Nadeem Textile Mills Limited,830,TEXTILE SPINNING,21511985
82340,NAGC,Nagina Cotton Mills Limited,830,TEXTILE SPINNING,18700000
82365,NCML,Nazir Cotton Mills Limited,830,TEXTILE SPINNING,23000000
82440,OML,Olympia Mills Limited,818,MISCELLANEOUS,12000000
82460,PRET,Premium Textile Mills Limited,830,TEXTILE SPINNING,6163000
