ref,symbol,company_name,category_number,category,shares
281250,HINOON,Highnoon Laboratories Limited,823,PHARMACEUTICALS,38076441
281260,SAPL,Sanofi-Aventis Pakistan Limited,823,PHARMACEUTICALS,9644800
281360,OTSU,Otsuka Pakistan Limited,823,PHARMACEUTICALS,12100000
281530,SEARL,The Searle Company Limited,823,PHARMACEUTICALS,312052684
281610,WYETH,Wyeth Pakistan Limited,823,PHARMACEUTICALS,1421610
291020,BAPL,Bawany Air Products Limited,805,CHEMICAL,7502510
291030,BIFO,Biafo Industries Limited,805,CHEMICAL,46382688
291040,BERG,Berger Paints Pakistan Limited,805,CHEMICAL,20459710
291080,BUXL,Buxly Paints Limited,805,CHEMICAL,1440000
291110,ARPL,Archroma Pakistan Limited,805,CHEMICAL,34118229
291120,COLG,Colgate-Palmolive (Pakistan) Limited,805,CHEMICAL,72795589
291130,CTM,Colony Textile Mills Limited,830,TEXTILE SPINNING,498010000
291140,DOL,Descon Oxychem Limited,805,CHEMICAL,175031084
291150,DAAG,Data Agro Limited,805,CHEMICAL,4000000
291175,DYNO,Dynea Pakistan Limited,805,CHEMICAL,18872400
291200,EPCL,Engro Polymer & Chemicals Limited,805,CHEMICAL,908923333
291203,EPCLPS,Engro Poly(Pref),805,CHEMICAL,300000000
291210,FATIMA,Fatima Fertilizer Company Limited,809,FERTILIZER,2100000000
291250,GGL,Ghani Global Holdings Limited,805,CHEMICAL,321926900
291300,ICI,ICI Pakistan Limited,805,CHEMICAL,92359050
291305,ICL,Ittehad Chemicals Limted,805,CHEMICAL,99999999
291340,LPGL,Leiner Pak Gelatine Limited,805,CHEMICAL,7500000
291390,LOTCHEM,Lotte Chemical Pakistan Limited,805,CHEMICAL,1514207200
291400,PPVC,Pakistan PVC Limited,805,CHEMICAL,14958000
291450,NICL,Nimir Industrial Chemicals Limited,805,CHEMICAL,110590546
291460,PAKOXY,Pakistan Oxygen Limited,805,CHEMICAL,46872446
291470,NRSL,Nimir Resins Limited,805,CHEMICAL,141321100
291525,SARC,Sardar Chemical Industries Limited,805,CHEMICAL,6000000
291535,SHCI,Shaffi Chemical Industries Limited,805,CHEMICAL,12000000
291560,SITC,Sitara Chemical Industries Limited,805,CHEMICAL,21429524
291565,SPL,Sitara Peroxide Limited,805,CHEMICAL,55100000
291600,WAHN,Wah Noble Chemicals Limited,805,CHEMICAL,9000000
300980,ABSON,Abson Industries Limited,822,PAPER & BOARD,3100000
301060,CEPB,Century Paper & Board Mills Limited,822,PAPER & BOARD,202885316
301070,CPPL,Cherat Packaging Limited,822,PAPER & BOARD,42506836
301110,DBSL,Dadabhoy Sack Limited,822,PAPER & BOARD,4000000
301120,MERIT,Merit Packaging Limited,822,PAPER & BOARD,199958427
301160,PKGS,Packages Limited,822,PAPER & BOARD,89379504
301170,GEMPAPL,Pak Agro Packaging Limited(GEM),822,PAPER & BOARD,20000000
301180,PPP,Pakistan Paper Products Limited,822,PAPER & BOARD,8000000
